date,hash,allocation,amount,description
2025-04-14,D981872D3C434A00EF0558E28D7E4490058F8FBF941A631046E52AAAAF7110A3,miner,-1000000.0,miner
2025-04-14,1B0640FA534409D5F9FB834005382324626FCA3B77C5D5FF2EF643C2EFA4C1E2,miner,-100000000.0,miner
2025-04-14,F881F3C31310199F52753FB466FE982405C5982733E96B0007710AC2731F3B38,miner,-1000000000.0,miner
2025-04-16,E1AEAE588752C2DCDCB223B0B9610E531FEB9931FC759218CCA43188C520C2CB,dev-fund,-1500000.0,community insights
2025-04-19,CD3EFE77739EF7163EC0178EB7CF6DE574884DF441209B4C1BBFCE3E4ADBC430,dev-fund,-100000.0,give away
2025-04-19,F2C130D432AE66345918FC6A0CB3C57BD8BE58DCB66F4AD62AD949B05FF5546E,dev-fund,-400000.0,give away
2025-04-20,9822668568857F76BC181325FE1F326302CA6364E449DAFC10C120A8A002589A,dev-fund,-1500000.0,give away
2025-04-23,3AA544B3C44E3C0CF4E11FF2849DC7A473C9D26A9BBECF3188D25CE3CD7F0B0F,dev-fund,-1500000.0,felipe promo
2025-04-23,5761A6B74A9BA55643BB564DE0B3D830D1E71D5C701EFDCD667378B08656F60A,dev-fund,-1500000.0,promo and support
2025-04-28,D9D89C9FB82CF7B436F304FD2E6DF6DA71570CB6E9CCA5F8FEB06F60C4476640,dev-fund,-1500000.0,invite competition winner
2025-04-28,2ED005DEBB19BD6737734D4CC69ACE12EA2DE9F976116FA530FEB51EF08CC388,dev-fund,-1500000.0,invite competition lucky winner
